"X97" "X103" "X104" "X107" "X108" "X109" "X110" "X112" "X125" "X133" "X153" "X154" "X155" "X156" "X157" "X171" "X177" "X179" "X214" "X229" "X249" "X274" "X1007" "X1009" "X1010" "X1657" "X2006" "X2007" "X2026" "X2035" "X2051" "X2053" "X2057" "X2058" "X2060" "X2089" "X2090"
"Quercus_prinus" 194 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 87 0 0 0 0 0 0 33 0 0 0 7 0 0 0 0
"Quercus_rubra" 0 0 0 0 4 6 0 0 0 132 0 0 0 0 0 21 0 0 0 0 0 92 0 0 0 0 2 6 9 6 0 0 3 0 0 4 0
"Quercus_stellata" 0 0 0 0 0 0 0 0 473 0 0 0 0 0 78 0 0 0 0 13 0 0 0 0 0 1 0 0 0 0 60 0 1 0 0 0 0
"Quercus_velutina" 12 0 0 0 0 0 0 0 162 2 0 0 0 0 5 0 0 0 0 11 0 5 0 0 0 0 8 0 10 0 6 8 0 0 6 0 0
"Rhododendron_calen" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rhododendron_maxim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Robinia_pseudoacac" 2 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 6 0 1 0 0 0 0 0 0 0 0
"Salix_nigra" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sassafras_albidum" 130 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 2 0 67 0 0 15 0 3 0 2 0
"Sorbus_americana" 0 0 98 2 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Symplocos_tinctori" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Taxodium_distichum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tila_americana" 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tilia_americana" 0 0 0 0 0 0 50 0 0 114 0 0 0 0 0 0 0 0 0 0 92 0 0 68 67 0 0 1 3 3 0 0 9 0 3 0 0
"Tilia_heterophylla" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0
"Tilia_noglecta" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tsuga_canadensis" 0 26 0 170 1 3 150 46 0 0 2 0 25 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0
"Tsuga_caroliniana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 101 0 0
"Ulmus_alata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 30 0 0 1 0
"Ulmus_americana" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 0 6 0 26 0 0 0 0 9 2 0 0 0 0 1 0
"Ulmus_fulva" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 96 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0
"Ulmus_rubra" 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 15 8 0 1 16 0 0 7 0
"Ulmus_serotina" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"Viburnum_rufidulum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0
