<  File:  ENAmTrees.txt  Species:  148 Sites:   37 MatFill: 0.09 Occ:    520 5.000% Confidence limit  Index: c Model: fixed - fixed                      
 
#    No             Sp1                Sp2     S1  S2 Com  Obs.Score  Exp.Score  Exp.StDev   Skewness    LowerCL    UpperCL SigZ-Score      Alpha >MeanScore   >CLScore   >BJScore      Alpha
#  2104 "Carya_tomentosa"  "Sassafras_albidum   9   8   5      0.167      0.509      0.181      0.710      0.278      1.000      -1.89 0.05832726       0.00       0.00       0.00 1.00000000
#  2108 "Carya_tomentosa"  "Ulmus_rubra"        9   7   5      0.127      0.555      0.205      0.429      0.238      1.000      -2.09 0.03617412      -2.09       0.00       0.00 1.00000000
#  2112 "Carya_tomentosa"  "Quercus_stellata"   9   6   5      0.074      0.545      0.193      0.487      0.185      1.000      -2.43 0.01469356      -2.43      -2.43       0.00 1.00000000
#  2127 "Carya_tomentosa"  "Ulmus_alata"        9   4   4      0.000      0.653      0.232      0.094      0.167      1.000      -2.82 0.00469130       0.00       0.00      -1.99 0.04631117
#  2236 "Carya_glabra"     "Oxydendrum_arbore   9   7   5      0.127      0.570      0.207     -0.056      0.238      1.000      -2.14 0.03186595      -2.14      -2.14       0.00 1.00000000
#  2239 "Carya_glabra"     "Ulmus_rubra"        9   7   6      0.048      0.490      0.190      0.432      0.127      1.000      -2.33 0.01955330      -2.33      -2.33       0.00 1.00000000
#  2258 "Carya_glabra"     "Ulmus_alata"        9   4   4      0.000      0.616      0.246      0.066      0.167      1.000      -2.50 0.01209462       0.00       0.00       0.00 1.00000000
#  2263 "Carya_glabra"     "Carpinus_carolini   9   3   3      0.000      0.689      0.276     -0.323      0.259      1.000      -2.49 0.01246053       0.00       0.00       0.00 1.00000000
#  2396 "Fraxinus_pennsylv "Acer_negundo"       9   3   3      0.000      0.671      0.287     -0.252      0.259      1.000      -2.34 0.01892453       0.00       0.00       0.00 1.00000000
#  2404 "Fraxinus_pennsylv "Quercus_macrocarp   9   3   3      0.000      0.650      0.272     -0.129      0.259      1.000      -2.39 0.01658314       0.00       0.00       0.00 1.00000000
#  2504 "Betula_lenta"     "Magnolia_acuminat   8   5   4      0.100      0.645      0.225     -0.080      0.250      1.000      -2.42 0.01518637      -2.42      -2.42       0.00 1.00000000
#  2544 "Betula_lenta"     "Pinus_resinosa"     8   2   2      0.000      0.736      0.281     -0.124      0.438      1.000      -2.62 0.00860590       0.00       0.00       0.00 1.00000000
#  2623 "Sassafras_albidum "Oxydendrum_arbore   8   7   6      0.036      0.510      0.205      0.149      0.107      1.000      -2.31 0.02051359      -2.31      -2.31       0.00 1.00000000
#  2633 "Sassafras_albidum "Robinia_pseudoaca   8   5   4      0.100      0.587      0.208      0.205      0.250      1.000      -2.34 0.01883703      -2.34      -2.34       0.00 1.00000000
#  2635 "Sassafras_albidum "Quercus_coccinea"   8   5   4      0.100      0.617      0.238      0.127      0.250      1.000      -2.17 0.02948576      -2.17      -2.17       0.00 1.00000000
#  2753 "Oxydendrum_arbore "Ulmus_rubra"        7   7   4      0.184      0.574      0.201      0.264      0.327      1.000      -1.95 0.05110914       0.00       0.00       0.00 1.00000000
#  2760 "Oxydendrum_arbore "Robinia_pseudoaca   7   5   4      0.086      0.650      0.220      0.433      0.429      1.000      -2.57 0.01007080      -2.57      -2.57       0.00 1.00000000
#  2762 "Oxydendrum_arbore "Quercus_coccinea"   7   5   4      0.086      0.652      0.220      0.102      0.229      1.000      -2.58 0.00982350      -2.58      -2.58       0.00 1.00000000
#  2763 "Oxydendrum_arbore "Quercus_prinus"     7   5   4      0.086      0.634      0.253      0.124      0.229      1.000      -2.17 0.02977139      -2.17      -2.17       0.00 1.00000000
#  2777 "Oxydendrum_arbore "Carpinus_carolini   7   3   3      0.000      0.685      0.291     -0.256      0.238      1.000      -2.35 0.01831198       0.00       0.00       0.00 1.00000000
#  3130 "Ulmus_rubra"      "Carya_cordiformis   7   6   5      0.048      0.599      0.213      0.297      0.286      1.000      -2.59 0.00929028      -2.59      -2.59       0.00 1.00000000
#  3136 "Ulmus_rubra"      "Diospyros_virgini   7   5   4      0.086      0.647      0.236      0.042      0.229      1.000      -2.38 0.01700675      -2.38      -2.38       0.00 1.00000000
#  3137 "Ulmus_rubra"      "Quercus_coccinea"   7   5   4      0.086      0.635      0.242      0.012      0.229      1.000      -2.27 0.02276731      -2.27      -2.27       0.00 1.00000000
#  3146 "Ulmus_rubra"      "Celtis_occidental   7   4   3      0.143      0.629      0.240      0.315      0.357      1.000      -2.02 0.04294497      -2.02      -2.02       0.00 1.00000000
#  3152 "Ulmus_rubra"      "Carpinus_carolini   7   3   3      0.000      0.710      0.280     -0.288      0.238      1.000      -2.54 0.01095539       0.00       0.00       0.00 1.00000000
#  3185 "Ulmus_rubra"      "Asimina_triloba"    7   2   2      0.000      0.733      0.293     -0.260      0.429      1.000      -2.51 0.01202261       0.00       0.00       0.00 1.00000000
#  3298 "Amelanchier_arbor "Pinus_rigida"       6   2   2      0.000      0.764      0.300     -0.625      0.417      1.000      -2.54 0.01078141       0.00       0.00       0.00 1.00000000
#  3381 "Carya_cordiformis "Diospyros_virgini   6   5   4      0.067      0.652      0.239      0.043      0.200      1.000      -2.45 0.01423818      -2.45      -2.45       0.00 1.00000000
#  3386 "Carya_cordiformis "Juglans_nigra"      6   4   3      0.125      0.685      0.242     -0.059      0.333      1.000      -2.31 0.02058780      -2.31      -2.31       0.00 1.00000000
#  3549 "Betula_alleghanie "Acer_rubum"         6   2   2      0.000      0.809      0.281     -0.896      0.417      1.000      -2.88 0.00389612       0.00       0.00      -2.07 0.03846133
#  3648 "Quercus_stellata" "Quercus_falcata"    6   3   3      0.000      0.711      0.294     -0.355      0.222      1.000      -2.42 0.01532418       0.00       0.00       0.00 1.00000000
#  3652 "Quercus_stellata" "Quercus_imbricari   6   2   2      0.000      0.787      0.295     -0.816      0.417      1.000      -2.67 0.00746900       0.00       0.00       0.00 1.00000000
#  3655 "Quercus_stellata" "Carya_texana"       6   2   2      0.000      0.776      0.298     -0.718      0.417      1.000      -2.60 0.00906026       0.00       0.00       0.00 1.00000000
#  3978 "Robinia_pseudoaca "Quercus_prinus"     5   5   4      0.040      0.680      0.240     -0.109      0.160      1.000      -2.67 0.00751513      -2.67      -2.67       0.00 1.00000000
#  4441 "Picea_rubens"     "Betula_lutea"       5   4   3      0.100      0.729      0.246     -0.226      0.300      1.000      -2.56 0.01032615      -2.56      -2.56       0.00 1.00000000
#  4581 "Pinus_taeda"      "Ilex_opaca"         5   2   2      0.000      0.776      0.304     -0.744      0.400      1.000      -2.56 0.01041055       0.00       0.00       0.00 1.00000000
#  4667 "Juglans_nigra"    "Celtis_occidental   4   4   3      0.062      0.752      0.270     -0.506      0.250      1.000      -2.56 0.01035309      -2.56      -2.56       0.00 1.00000000
#  5455 "Cercis_canadensis "Asimina_triloba"    4   2   2      0.000      0.811      0.300     -1.084      0.375      1.000      -2.71 0.00664371       0.00       0.00       0.00 1.00000000
#  5547 "Hamamelis_virgini "Pinus_resinosa"     4   2   2      0.000      0.849      0.281     -1.476      0.375      1.000      -3.02 0.00247413       0.00       0.00      -2.25 0.02442388
#  5629 "Quercus_marilandi "Pinus_echinata"     3   3   2      0.111      0.793      0.279     -0.716      0.444      1.000      -2.44 0.01436210      -2.44      -2.44       0.00 1.00000000
#  5644 "Quercus_marilandi "Carya_texana"       3   2   2      0.000      0.860      0.272     -1.468      0.333      1.000      -3.17 0.00148416       0.00       0.00      -2.44 0.01465115
#  5648 "Quercus_marilandi "Pinus_palustris"    3   2   2      0.000      0.867      0.267     -1.546      0.333      1.000      -3.25 0.00110984       0.00       0.00      -2.54 0.01095600
#  5951 "Celtis_laevigata" "Juniperus_virgini   3   2   2      0.000      0.873      0.262     -1.629      0.333      1.000      -3.34 0.00080574       0.00       0.00      -2.65 0.00795399
#  5960 "Celtis_laevigata" "Asimina_triloba"    3   2   2      0.000      0.857      0.280     -1.534      0.333      1.000      -3.06 0.00213629       0.00       0.00      -2.30 0.02108883
#  6046 "Pinus_echinata"   "Pinus_palustris"    3   2   2      0.000      0.873      0.262     -1.629      0.333      1.000      -3.34 0.00080574       0.00       0.00      -2.65 0.00795399
#  6436 "Sorbus_americana" "Prunus_pensylvani   3   2   2      0.000      0.853      0.276     -1.393      0.333      1.000      -3.09 0.00193441       0.00       0.00      -2.34 0.01909592
#  6694 "Betula_papyrifera "Quercus_macrocarp   3   3   3      0.000      0.771      0.309     -0.804      0.111      1.000      -2.50 0.01237458       0.00       0.00       0.00 1.00000000
#  7235 "Ostrya_viginiana" "Tila_americana"     2   2   2      0.000      0.865      0.288     -1.717      0.250      1.000      -3.00 0.00259840       0.00       0.00      -2.23 0.02565069
#  7509 "Quercus_nigra"    "Populus_deltoides   2   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
#  7798 "Pinus_resinosa"   "Pinus_rigida"       2   2   2      0.000      0.858      0.294     -1.629      0.250      1.000      -2.91 0.00346124       0.00       0.00      -2.11 0.03416837
#  8026 "Juniperus_virgini "Frangula_carolini   2   1   1      0.000      1.000      0.000      0.000      1.000      1.000      -1.00 0.31722987       0.00       0.00       0.00 1.00000000
#  9191 "Pinus_elliottii"  "Illex_opaca"        1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
#  9241 "Amelanchier_laevi "Ilex_montana"       1   1   1      0.000      1.000      0.000      0.000      1.000      1.000      -1.00 0.31722987       0.00       0.00       0.00 1.00000000
#  9303 "Pinus_pungens"    "Quercus_ilicifoli   1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
#  9484 "Gleditsia_triacan "Salix_nigra"        1   1   1      0.000      0.990      0.099    -10.152      1.000      1.000      -9.95 0.00000000       0.00       0.00      -9.95 0.00000000
#  9504 "Acer_saccharinum" "Populus_deltoides   1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
#  9568 "Pinus_virginiana" "Quercus_ilicifoli   1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
#  9633 "Platanus_occident "Cornus_alternifol   1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
#  9650 "Platanus_occident "Fargus_grandifoli   1   1   1      0.000      0.990      0.099    -10.152      1.000      1.000      -9.95 0.00000000       0.00       0.00      -9.95 0.00000000
#  9708 "Populus_deltoides "Ilex_decidua"       1   1   1      0.000      0.980      0.140     -7.068      1.000      1.000      -7.00 0.00000000       0.00       0.00      -7.00 0.00000000
#  9804 "Castanea_pumila"  "Ilex_monticola"     1   1   1      0.000      0.990      0.099    -10.152      1.000      1.000      -9.95 0.00000000       0.00       0.00      -9.95 0.00000000
# 10068 "Quercus_chapmanii "Carya_floridana"    1   1   1      0.000      0.990      0.099    -10.152      1.000      1.000      -9.95 0.00000000       0.00       0.00      -9.95 0.00000000
# 10118 "Ilex_monticola"   "Rhododendron_cale   1   1   1      0.000      0.990      0.099    -10.152      1.000      1.000      -9.95 0.00000000       0.00       0.00      -9.95 0.00000000
